stopPointRef,no_of_buses
NSR:Quay:69591,3326
NSR:Quay:48458,7403
NSR:Quay:37025,18212
NSR:Quay:88762,42863
NSR:Quay:75657,118433
NSR:Quay:72904,16755
NSR:Quay:75357,29424
NSR:Quay:10129,63689
NSR:Quay:5932,25754
NSR:Quay:26507,9896
NSR:Quay:13110,9913
NSR:Quay:95548,50194
NSR:Quay:67205,25092
14114604,4712
14387803,3735
NSR:Quay:5071,3262
NSR:Quay:82459,1991
NSR:Quay:87856,525
NSR:Quay:10648,122668
NSR:Quay:81606,9112
NSR:Quay:94214,1030
NSR:Quay:11386,25912
NSR:Quay:109524,3928
NSR:Quay:18338,472
NSR:Quay:4204,28292
NSR:Quay:6212,13309
NSR:Quay:8421,10219
NSR:Quay:3969,33678
NSR:Quay:48586,41763
NSR:Quay:9929,96130
NSR:Quay:31057,10410
NSR:Quay:4945,5735
NSR:Quay:12369,16610
NSR:Quay:11024,84207
NSR:Quay:69167,9462
NSR:Quay:26097,569
NSR:Quay:41106,4707
NSR:Quay:43252,11872
NSR:Quay:48527,1829
NSR:Quay:42726,19100
NSR:Quay:39769,19003
NSR:Quay:72512,15629
NSR:Quay:32540,1580
NSR:Quay:107871,84154
NSR:Quay:98169,5248
NSR:Quay:56391,4992
NSR:Quay:58218,3145
14011829,7722
NSR:Quay:31967,11097
NSR:Quay:33548,9492
NSR:Quay:54063,16476
NSR:Quay:349,12440
NSR:Quay:30093,7675
NSR:Quay:66147,9003
NSR:Quay:7776,29698
14281103,1977
NSR:Quay:698,31291
NSR:Quay:11769,97198
NSR:Quay:45745,75220
NSR:Quay:41105,13929
NSR:Quay:49265,13306
NSR:Quay:54225,7280
NSR:Quay:90627,25964
NSR:Quay:96007,396
NSR:Quay:7729,41488
NSR:Quay:72046,11857
NSR:Quay:29096,24387
NSR:Quay:45164,7623
NSR:Quay:51255,55600
NSR:Quay:104865,19076
NSR:Quay:32514,2491
NSR:Quay:11937,36120
NSR:Quay:49646,6688
NSR:Quay:71160,44025
NSR:Quay:8057,33939
NSR:Quay:67218,30610
NSR:Quay:7954,17258
NSR:Quay:11139,1682
NSR:Quay:69028,39915
NSR:Quay:58815,6493
NSR:Quay:36861,19107
NSR:Quay:58782,968
NSR:Quay:53150,55619
NSR:Quay:55665,1237
NSR:Quay:32765,7041
NSR:Quay:96923,7588
NSR:Quay:22397,903
NSR:Quay:10276,23048
NSR:Quay:104047,21193
NSR:Quay:45927,628
NSR:Quay:25743,920
NSR:Quay:66410,2877
NSR:Quay:49688,18838
NSR:Quay:12903,19999
NSR:Quay:56839,2666
NSR:Quay:32516,238
NSR:Quay:8577,21605
NSR:Quay:18316,642
NSR:Quay:77623,3364
NSR:Quay:27325,3070
NSR:Quay:97243,10322
NSR:Quay:29128,30178
NSR:Quay:84498,4716
NSR:Quay:70553,5266
NSR:Quay:36260,6664
NSR:Quay:49208,4815
NSR:Quay:54373,4637
NSR:Quay:43650,6647
NSR:Quay:12914,8974
NSR:Quay:41254,8579
NSR:Quay:4050,12683
NSR:Quay:65694,1715
NSR:Quay:88089,164
NSR:Quay:100103,948
NSR:Quay:37317,2373
NSR:Quay:6463,25867
NSR:Quay:97184,6770
NSR:Quay:101576,12152
14163424,559
NSR:Quay:108832,1994
NSR:Quay:29673,9218
NSR:Quay:103559,8086
NSR:Quay:105014,253
NSR:Quay:66064,5148
NSR:Quay:85821,1452
NSR:Quay:31137,847
NSR:Quay:23658,989
NSR:Quay:74153,23419
NSR:Quay:51797,14985
NSR:Quay:31270,9471
NSR:Quay:32359,12253
NSR:Quay:38842,17509
NSR:Quay:74462,2678
NSR:Quay:1045,6644
NSR:Quay:77469,611
NSR:Quay:96968,384
NSR:Quay:30400,6283
NSR:Quay:102677,15193
NSR:Quay:11966,3742
NSR:Quay:3861,1089
NSR:Quay:87843,3054
NSR:Quay:29540,19278
NSR:Quay:41582,8687
NSR:Quay:8836,7809
NSR:Quay:54739,4199
NSR:Quay:7706,7056
NSR:Quay:1594,3735
NSR:Quay:12363,952
NSR:Quay:36417,2230
NSR:Quay:95604,9741
NSR:Quay:30144,7930
NSR:Quay:90512,533
NSR:Quay:5189,1179
NSR:Quay:9425,5507
NSR:Quay:73398,7743
NSR:Quay:32085,9505
NSR:Quay:12574,5188
NSR:Quay:51701,239
NSR:Quay:68812,20194
NSR:Quay:569,10683
NSR:Quay:26536,575
NSR:Quay:11426,25867
NSR:Quay:54265,2749
NSR:Quay:12900,6713
NSR:Quay:6161,2848
NSR:Quay:55229,9512
NSR:Quay:22339,378
NSR:Quay:65688,1810
NSR:Quay:8058,9595
NSR:Quay:103738,7546
NSR:Quay:1017,13837
NSR:Quay:58516,7367
NSR:Quay:26159,10453
NSR:Quay:49233,13999
NSR:Quay:46060,23259
NSR:Quay:23712,6792
NSR:Quay:57860,4160
NSR:Quay:49570,20077
NSR:Quay:38957,990
NSR:Quay:709,3568
NSR:Quay:57790,1240
NSR:Quay:28460,2022
NSR:Quay:99942,3469
NSR:Quay:105374,456
NSR:Quay:8918,18177
NSR:Quay:4147,13051
NSR:Quay:75268,2259
NSR:Quay:42600,2311
NSR:Quay:37000,762
NSR:Quay:92509,2885
NSR:Quay:9436,5573
NSR:Quay:3444,7231
NSR:Quay:1164,6344
NSR:Quay:102324,2851
NSR:Quay:95601,2625
NSR:Quay:41112,1110
NSR:Quay:49029,6682
NSR:Quay:54718,3864
NSR:Quay:104493,602
14291660,1671
NSR:Quay:14337,296
NSR:Quay:50440,1781
NSR:Quay:91136,3265
NSR:Quay:1866,3353
NSR:Quay:3884,2566
NSR:Quay:65954,1428
NSR:Quay:42418,2125
NSR:Quay:4711,9299
NSR:Quay:44680,457
NSR:Quay:19862,7165
NSR:Quay:32534,1057
NSR:Quay:106298,369
NSR:Quay:80993,183
NSR:Quay:104835,2175
NSR:Quay:18729,2976
NSR:Quay:20243,1776
NSR:Quay:45101,1877
NSR:Quay:16397,492
NSR:Quay:86677,941
NSR:Quay:77283,371
NSR:Quay:69942,4143
NSR:Quay:4353,9393
NSR:Quay:22381,905
NSR:Quay:95084,3631
NSR:Quay:3966,2454
NSR:Quay:38749,980
NSR:Quay:15152,1083
NSR:Quay:43717,3029
NSR:Quay:42343,2346
NSR:Quay:51760,3926
NSR:Quay:17882,2808
NSR:Quay:25884,8168
NSR:Quay:58626,1005
NSR:Quay:40113,2817
NSR:Quay:46916,603
NSR:Quay:70491,3199
NSR:Quay:51645,1254
NSR:Quay:34781,1338
NSR:Quay:20360,851
NSR:Quay:86278,233
NSR:Quay:43467,1134
NSR:Quay:31961,1142
NSR:Quay:67538,1939
NSR:Quay:4975,1151
NSR:Quay:99642,55
NSR:Quay:79216,1154
NSR:Quay:77874,502
NSR:Quay:39877,5252
NSR:Quay:45308,997
NSR:Quay:54034,2013
NSR:Quay:105046,399
NSR:Quay:70897,934
NSR:Quay:102159,380
NSR:Quay:20373,745
NSR:Quay:16922,485
14281056,2204
NSR:Quay:93057,770
NSR:Quay:103066,225
NSR:Quay:42848,2349
NSR:Quay:58664,1572
NSR:Quay:35592,869
NSR:Quay:90412,307
NSR:Quay:86369,3561
NSR:Quay:96713,342
NSR:Quay:44187,534
NSR:Quay:42674,1582
NSR:Quay:58710,1018
NSR:Quay:35408,3404
NSR:Quay:52571,475
NSR:Quay:53454,2665
NSR:Quay:56581,5043
NSR:Quay:92322,754
NSR:Quay:4642,5263
NSR:Quay:101179,5481
NSR:Quay:67311,4900
NSR:Quay:106504,295
NSR:Quay:20272,1139
NSR:Quay:42667,1474
NSR:Quay:94761,1294
NSR:Quay:47042,1365
NSR:Quay:17346,550
NSR:Quay:51627,1944
NSR:Quay:74888,1687
NSR:Quay:1513,4599
NSR:Quay:68959,1882
NSR:Quay:29105,1657
NSR:Quay:107526,179
NSR:Quay:88468,1431
NSR:Quay:77514,1690
NSR:Quay:78910,1816
NSR:Quay:107423,2005
NSR:Quay:96538,2297
NSR:Quay:103512,304
NSR:Quay:46252,512
NSR:Quay:46102,8618
NSR:Quay:94575,1112
NSR:Quay:92967,184
NSR:Quay:36610,3305
NSR:Quay:70205,3097
NSR:Quay:30658,490
NSR:Quay:104666,1456
NSR:Quay:84258,1113
NSR:Quay:122004,283
NSR:Quay:97957,1376
NSR:Quay:97107,2160
NSR:Quay:107535,450
NSR:Quay:22336,2097
NSR:Quay:17394,551
NSR:Quay:49904,3276
NSR:Quay:40437,3184
NSR:Quay:22559,931
NSR:Quay:99627,1810
NSR:Quay:57766,3973
NSR:Quay:13652,708
NSR:Quay:2392,591
NSR:Quay:89124,646
NSR:Quay:101096,140
NSR:Quay:5581,1612
NSR:Quay:5259,975
14163339,663
NSR:Quay:70402,603
NSR:Quay:2705,577
NSR:Quay:53183,2098
NSR:Quay:94555,1222
NSR:Quay:44355,2947
NSR:Quay:20147,1109
NSR:Quay:71593,1468
NSR:Quay:6216,7384
NSR:Quay:53909,2686
NSR:Quay:74165,1882
NSR:Quay:56762,382
NSR:Quay:97084,289
NSR:Quay:96734,446
NSR:Quay:37322,979
NSR:Quay:81295,1541
NSR:Quay:89440,346
NSR:Quay:75335,658
NSR:Quay:91405,2477
NSR:Quay:73234,926
NSR:Quay:103373,554
NSR:Quay:89140,1305
NSR:Quay:4187,781
NSR:Quay:10026,810
NSR:Quay:52785,830
NSR:Quay:2880,430
NSR:Quay:11649,456
NSR:Quay:65535,588
NSR:Quay:12211,1895
NSR:Quay:23187,262
NSR:Quay:2394,1900
NSR:Quay:47148,1362
NSR:Quay:23767,524
NSR:Quay:52257,1050
NSR:Quay:96863,1004
NSR:Quay:52209,3651
NSR:Quay:108858,317
NSR:Quay:88019,837
NSR:Quay:35401,242
NSR:Quay:44216,457
NSR:Quay:72648,506
NSR:Quay:30725,852
14417522,2799
NSR:Quay:26111,919
NSR:Quay:96983,910
NSR:Quay:95372,628
NSR:Quay:23716,1536
NSR:Quay:88535,367
NSR:Quay:86955,369
NSR:Quay:91583,613
NSR:Quay:97273,998
NSR:Quay:106699,161
NSR:Quay:29108,1848
NSR:Quay:36554,587
NSR:Quay:90586,378
NSR:Quay:91527,595
NSR:Quay:72362,1796
NSR:Quay:26889,469
NSR:Quay:63762,91
NSR:Quay:24606,1590
14333730,1202
NSR:Quay:23553,724
NSR:Quay:9666,737
NSR:Quay:83658,458
NSR:Quay:14583,479
NSR:Quay:39379,1564
NSR:Quay:26031,2270
NSR:Quay:65785,1309
NSR:Quay:35127,1644
NSR:Quay:104841,1978
NSR:Quay:5023,573
NSR:Quay:88034,1036
NSR:Quay:25086,361
NSR:Quay:84340,682
NSR:Quay:72363,866
NSR:Quay:73603,1562
NSR:Quay:95666,698
NSR:Quay:57107,525
14322202,1515
NSR:Quay:76517,388
NSR:Quay:87206,450
NSR:Quay:67249,1095
NSR:Quay:45025,601
NSR:Quay:1274,340
NSR:Quay:89981,1100
NSR:Quay:15851,528
NSR:Quay:95396,1089
NSR:Quay:81774,407
NSR:Quay:88485,533
NSR:Quay:35955,884
NSR:Quay:28587,654
NSR:Quay:24598,283
NSR:Quay:24520,728
NSR:Quay:9052,1930
NSR:Quay:99639,48
NSR:Quay:106463,326
NSR:Quay:14926,2130
NSR:Quay:96166,1125
NSR:Quay:3621,1115
NSR:Quay:72911,342
NSR:Quay:67000,508
NSR:Quay:91768,1183
NSR:Quay:97161,829
NSR:Quay:70269,368
NSR:Quay:96919,832
NSR:Quay:16287,1364
NSR:Quay:40401,759
NSR:Quay:36007,417
14012058,1441
NSR:Quay:77224,180
NSR:Quay:36585,829
NSR:Quay:71437,1608
NSR:Quay:69513,1061
NSR:Quay:30851,324
NSR:Quay:12496,380
NSR:Quay:38705,637
NSR:Quay:105955,379
NSR:Quay:71379,1495
NSR:Quay:57864,325
NSR:Quay:60267,582
NSR:Quay:14301,906
NSR:Quay:53381,850
NSR:Quay:49572,1459
NSR:Quay:103192,882
NSR:Quay:86048,202
NSR:Quay:106385,771
NSR:Quay:25604,1893
NSR:Quay:12817,675
NSR:Quay:88490,534
NSR:Quay:13845,166
NSR:Quay:93982,755
NSR:Quay:88006,319
NSR:Quay:18844,751
NSR:Quay:57951,511
NSR:Quay:98768,447
NSR:Quay:35496,1043
NSR:Quay:37564,182
14333732,389
NSR:Quay:25572,638
NSR:Quay:108624,264
NSR:Quay:32444,469
NSR:Quay:77133,2107
NSR:Quay:44197,382
NSR:Quay:48609,304
NSR:Quay:14793,489
NSR:Quay:32635,85
NSR:Quay:47623,1256
NSR:Quay:16760,1277
NSR:Quay:22497,556
NSR:Quay:24589,1734
NSR:Quay:4381,3
NSR:Quay:20703,545
NSR:Quay:74020,374
NSR:Quay:34084,163
NSR:Quay:100486,761
NSR:Quay:40593,696
NSR:Quay:24383,591
NSR:Quay:28866,382
NSR:Quay:4262,84
NSR:Quay:103806,471
NSR:Quay:82707,314
NSR:Quay:100707,513
NSR:Quay:88793,470
NSR:Quay:82534,545
NSR:Quay:101046,383
NSR:Quay:86104,314
NSR:Quay:81936,512
NSR:Quay:3611,831
NSR:Quay:89578,254
NSR:Quay:76416,615
NSR:Quay:38008,692
NSR:Quay:73761,177
NSR:Quay:3440,457
NSR:Quay:105147,164
NSR:Quay:85723,384
14322365,833
NSR:Quay:95438,231
NSR:Quay:102405,536
NSR:Quay:89260,346
NSR:Quay:30689,413
NSR:Quay:109616,115
NSR:Quay:33483,749
NSR:Quay:73453,604
NSR:Quay:98382,1236
NSR:Quay:17355,170
NSR:Quay:102098,386
NSR:Quay:35490,582
NSR:Quay:87954,352
NSR:Quay:84539,532
NSR:Quay:23089,399
NSR:Quay:106068,155
NSR:Quay:81833,426
NSR:Quay:93028,749
NSR:Quay:106998,87
NSR:Quay:11982,461
NSR:Quay:31060,655
NSR:Quay:2998,857
NSR:Quay:26841,303
NSR:Quay:93508,599
NSR:Quay:15440,180
NSR:Quay:79479,136
NSR:Quay:83650,362
NSR:Quay:38709,696
NSR:Quay:70086,184
NSR:Quay:79851,221
NSR:Quay:16978,91
NSR:Quay:101636,416
NSR:Quay:54942,730
NSR:Quay:79565,185
NSR:Quay:92740,242
NSR:Quay:6415,105
NSR:Quay:83897,164
NSR:Quay:18159,660
NSR:Quay:85521,264
NSR:Quay:80120,346
NSR:Quay:92915,407
NSR:Quay:39373,505
NSR:Quay:14311,231
NSR:Quay:80289,179
NSR:Quay:67166,444
NSR:Quay:72349,374
NSR:Quay:92782,50
NSR:Quay:21673,182
NSR:Quay:15589,179
NSR:Quay:9000,217
NSR:Quay:5170,451
NSR:Quay:87336,164
NSR:Quay:72004,181
NSR:Quay:70968,362
NSR:Quay:95996,493
NSR:Quay:86248,233
NSR:Quay:9377,187
NSR:Quay:83618,83
