id,parentTrafficLinkId,stopPointRef,stopOnTrafficLink,stopCertainty,stopsServeDifferentBuses,trikkestopp,comment,hasOnlyPublicTransportLanes,isRamp,length,maxLanes,minLanes,startTrafficNodeId,endTrafficNodeId,text
0.0-0.4978117@805036-WITH,0.0-0.4978117@805036,NSR:Quay:55121,FALSE,High,,,Storavatnet terminal. Trafikklenka er like før holdeplassen.,TRUE,TRUE,101.838,1,1,834971,835061,Road system reference: FV5216 S1D1 m2133 KD3 m0-102
0.0-0.52246074@1721649-WITH,0.0-0.52246074@1721649,NSR:Quay:12312,FALSE,Low,,,Sør for Oslo. Det kan være busser som kjører her som ikke kjører innom stoppet litt lengre frem.,TRUE,TRUE,92,1,1,1721654,1721655,Road system reference: EV18 S56D1 m7556 KD5 m0-92
0.0-0.55925039@2535151-WITH,0.0-0.55925039@2535151,NA,,,,,"Snarvei i Oslo. Det er holdeplasser før og etter, men ikke mulig å se om alle bussene kjører over denne lenka.",TRUE,TRUE,154,1,1,641283,2535149,Road system reference: EV6 S16D1 m5438 KD5 m0-154
0.0-0.56441969@2725986-WITH,0.0-0.56441969@2725986,NA,,,,,Schancheholen brannstasjon. Helt umulig å se forbindelse til holdeplasser i nærheten.,TRUE,TRUE,328.353,1,1,2725847,3137486,Road system reference: FV440 S1D1 m1058 KD1 m0-331
0.0-0.88779933@805154-AGAINST,0.0-0.88779933@805154,NSR:Quay:53130,TRUE,,,TRUE,Byparken bybanestopp.,TRUE,FALSE,67.11,2,2,822380,822205,Road system reference: FV577 S1D10 m0-67
0.0-0.88779933@805154-WITH,0.0-0.88779933@805154,NSR:Quay:53130,TRUE,,,TRUE,Byparken bybanestopp.,TRUE,FALSE,67.11,2,2,822205,822380,Road system reference: FV577 S1D10 m0-67
0.0-1.0@121385-WITH,0.0-1.0@121385,NSR:Quay:37867,FALSE,High,,,Kristiansand.,TRUE,TRUE,38,1,1,135513,135543,Road system reference: EV39 S127D1 m1496 KD6 m0-38
0.0-1.0@320701-AGAINST,0.0-1.0@320701,"NSR:Quay:46970, NSR:Quay:46980",TRUE,,TRUE,,Ved Stavanger bussterminal,TRUE,FALSE,127,2,2,R320293,335363,Road system reference: FV4580 S1D1 m202-329
0.0-1.0@320701-WITH,0.0-1.0@320701,"NSR:Quay:46974, NSR:Quay:46961, NSR:Quay:46973",TRUE,,TRUE,,Ved Stavanger bussterminal,TRUE,FALSE,127,2,2,335363,R320293,Road system reference: FV4580 S1D1 m202-329
0.0-1.0@625279-WITH,0.0-1.0@625279,NSR:Quay:10292,TRUE,,,,"Ved Karihaugen, Oslo.",TRUE,TRUE,411,1,1,647248,647560,Road system reference: EV6 S17D1 m3444 KD6 m0-411
