id,roadSystemReferences,onlyPtLastYear,stopPointRef,stopCertainty,stopOnTrafficLink,stopAggregatesDirections,stopsServeDifferentBuses,comment,trikkestopp
1.0-0.50278215@755059-AGAINST,FV5338 S1D1 m0-58,FALSE,,,,,,Bergen,NA
1.0-0.50278215@755059-WITH,FV5338 S1D1 m0-58,FALSE,,,,,,Bergen,NA
0.55925039@2535151-0.0@4007712-WITH,"EV6 S16D1 m5438 KD1 m154-274, EV6 S16D1 m5438 KD1 m274-281",FALSE,,,,,,Oslo,NA
0.0@319725-0.50529378@4016914-AGAINST,FV44 S16D1 m356-885,FALSE,,,,,,Sandnes,NA
0.0@319725-0.50529378@4016914-WITH,FV44 S16D1 m356-885,FALSE,,,,,,Sandnes,NA
0.50278215-0.0@755059-AGAINST,FV5338 S1D1 m58-115,FALSE,,,,,,Bergen,NA
0.90463345-1.0@3950080-AGAINST,FV44 S17D17 m0-152,FALSE,,,,,,Hinna. Mangler NSR Quay id,NA
0.90463345-1.0@3950080-WITH,FV44 S17D17 m0-152,FALSE,,,,,,Hinna. Mangler NSR Quay id,NA
0.74135342-1.0@3223355-WITH,EV18 S3D1 m1037 KD8 m196-265,FALSE,NSR:Quay:39765,High,FALSE,,,Kristiansand,NA
0.66424231-1.0@4012794-AGAINST,FV44 S18D10 m1411-2124,FALSE,,,,,,Hinna,NA
0.66424231-1.0@4012794-WITH,FV44 S18D10 m1411-2124,FALSE,,,,,,Hinna,NA
0.50529378-0.75020302@4016914-AGAINST,FV44 S16D1 m885-1133,FALSE,NSR:Quay:47664,Medium,FALSE,,,Sandnes,NA
0.50529378-0.75020302@4016914-WITH,FV44 S16D1 m885-1133,FALSE,NSR:Quay:47663,Medium,FALSE,,,Sandnes,NA
0.38711801-1.0@2453612-WITH,EV134 S2D1 m6853 KD6 m37-97,FALSE,NSR:Quay:48964,High,TRUE,,,Førre (Haugesund),NA
0.37124051-0.66424231@4012794-AGAINST,FV44 S18D10 m789-1411,FALSE,,,,,,Hinna,NA
0.37124051-0.66424231@4012794-WITH,FV44 S18D10 m789-1411,FALSE,,,,,,Hinna,NA
0.20434874-0.37124051@4012794-AGAINST,FV44 S18D10 m434-789,FALSE,,,,,,Hinna,NA
0.20434874-0.37124051@4012794-WITH,FV44 S18D10 m434-789,FALSE,,,,,,Hinna,NA
0.12725362-0.20434874@4012794-AGAINST,FV44 S18D10 m270-434,FALSE,,,,,,Hinna,NA
0.12725362-0.20434874@4012794-WITH,FV44 S18D10 m270-434,FALSE,,,,,,Hinna,NA
0.0-0.9075894@2095753-WITH,RV4 S3D1 m23 KD1 m0-78,FALSE,,,,,,Oslo,NA
0.46414982-1.0@2667879-WITH,EV134 S2D1 m7627 KD6 m77-166,FALSE,NSR:Quay:48948,High,TRUE,,,Førre (Haugesund),NA
0.05601923-0.90463345@3950080-AGAINST,FV44 S17D15 m89-1442,FALSE,,,,,,Hinna,NA
0.05601923-0.90463345@3950080-WITH,FV44 S17D15 m89-1442,FALSE,,,,,,Hinna,NA
0.03476049-1.0@2268195-WITH,FV862 S2D10 m24-709,FALSE,"NSR:Quay:94680, NSR:Quay:95639
",High,TRUE,TRUE,FALSE,Kvaløysletta,NA
0.0-1.0@625231-WITH,EV6 S15D1 m3830 KD5 m0-26,FALSE,NSR:Quay:10472,High,FALSE,,,Oslo,NA
0.0-1.0@4013915-WITH,EV18 S2D1 m144 KD6 m0-58,FALSE,NSR:Quay:39370,High,FALSE,,,Kristiansand,NA
0.0-1.0@4001603-WITH,RV4 S3D1 m23 KD3 m0-59,FALSE,,,,,,Oslo,NA
0.0-1.0@3950083-AGAINST,FV44 S17D16 m0-150,FALSE,NSR:Quay:46456,High,FALSE,,,Hinna. Usikker på snuplassen her.,NA
0.0-1.0@3950083-WITH,FV44 S17D16 m0-150,FALSE,NSR:Quay:46457,High,FALSE,,,Hinna. Usikker på snuplassen her.,NA
0.0-1.0@3950079-AGAINST,FV44 S17D18 m0-68,FALSE,,,,,,Hinna,NA
0.0-1.0@3950079-WITH,FV44 S17D18 m0-68,FALSE,,,,,,Hinna,NA
0.0-1.0@3432935-WITH,EV18 S1D1 m2187 KD7 m0-61,FALSE,NSR:Quay:41210,Medium,FALSE,,,Kristiansand,NA
0.0-1.0@2829467-WITH,EV6 S16D1 m545 KD6 m0-60,FALSE,,,,,,Oslo,NA
0.0-1.0@2679425-WITH,EV6 S15D1 m5382 KD5 m0-75,FALSE,,,,,,Oslo,NA
0.0-1.0@2667877-WITH,EV134 S2D1 m7627 KD5 m0-60,FALSE,NSR:Quay:48947,Medium,FALSE,,,Førre,NA
0.0-1.0@2568097-WITH,EV134 S2D1 m6853 KD5 m0-35,FALSE,NSR:Quay:48967,Medium,FALSE,,,Førre,NA
0.0-1.0@2559989-WITH,EV134 S3D1 m10864 KD6 m0-130,FALSE,NSR:Quay:47640,Medium,FALSE,,,Førre (øst for),NA
0.0-1.0@2559984-WITH,EV134 S3D1 m10864 KD5 m0-107,FALSE,NSR:Quay:47642,Medium,FALSE,,,Førre (øst for),NA
0.0-1.0@2483459-WITH,FV108 S3D1 m2548 KD5 m0-75,FALSE,NSR:Quay:99781,High,TRUE,,,Hvaler,NA
0.0-1.0@2467402-WITH,EV18 S20D1 m10133 KD7 m0-103,FALSE,NSR:Quay:43792,High,TRUE,,,Risør,NA
0.0-1.0@2467401-WITH,EV18 S20D1 m10133 KD6 m0-68,FALSE,NSR:Quay:43793,High,TRUE,,,Risør,NA
0.0-1.0@2268218-WITH,FV862 S2D20 m0-37,FALSE,NSR:Quay:91625,Medium,FALSE,,,Kvaløysletta,NA
0.0-0.88802198@2721726-WITH,FV282 S1D1 m486 KD4 m0-94,FALSE,,,,,,Drammen,NA
0.0-0.74135342@3223355-WITH,EV18 S3D1 m1037 KD8 m0-196,FALSE,NSR:Quay:39765,High,TRUE,,,Kristiansand,NA
0.0-0.46414982@2667879-WITH,EV134 S2D1 m7627 KD6 m0-77,FALSE,NSR:Quay:48948,Medium,FALSE,,,Førre,NA
0.0-0.38711801@2453612-WITH,EV134 S2D1 m6853 KD6 m0-37,FALSE,NSR:Quay:48964,Medium,FALSE,,,Førre,NA
0.0-0.37634667@2516105-WITH,EV6 S16D1 m545 KD5 m0-42,FALSE,,,,,,Oslo,NA
0.0-0.12725362@4012794-AGAINST,FV44 S18D10 m0-270,FALSE,,,,,,Hinna,NA
0.0-0.12725362@4012794-WITH,FV44 S18D10 m0-270,FALSE,,,,,,Hinna,NA
0.0-0.05601923@3950080-AGAINST,FV44 S17D15 m0-89,FALSE,,,,,,Hinna,NA
0.0-0.05601923@3950080-WITH,FV44 S17D15 m0-89,FALSE,,,,,,Hinna,NA
0.0-0.03476049@2268195-WITH,FV862 S2D10 m0-24,FALSE,NSR:Quay:92685,High,FALSE,,,Kvaløysletta,NA
0.8347499-0.84142996@805748-AGAINST,FV577 S1D1 m753-824,TRUE,NSR:Quay:53200,,TRUE,,NA,"Nært torget, Bergen",NA
0.82715725-0.8347499@805748-AGAINST,FV577 S1D1 m683-753,TRUE,NSR:Quay:53106,,TRUE,,NA,"Småstrandgaten, Bergen",NA
0.84142996-0.84805238@805748-AGAINST,FV577 S1D1 m824-890,TRUE,NSR:Quay:53200,,TRUE,,NA,"Torgallmenningen, Bergen",NA
1.0@2491057-0.11729259@2491076-AGAINST,FV4534 S2D1 m1542-1739,TRUE,NSR:Quay:48760,,TRUE,,NA,Forus nord,NA
1.0@2491057-0.11729259@2491076-WITH,FV4534 S2D1 m1542-1739,TRUE,NSR:Quay:48762,,TRUE,,NA,Forus nord,NA
0.7177639-1.0@121758-WITH,EV39 S127D1 m1496 KD5 m0-57,TRUE,NSR:Quay:37868,Medium,FALSE,,NA,"Kristiansand, ved Rige næringsområde",NA
0.80616119-1.0@2408005-AGAINST,FV4556 S1D1 m2692-2965,TRUE,NSR:Quay:48354,,TRUE,,NA,Jåsund ring,NA
0.80616119-1.0@2408005-WITH,FV4556 S1D1 m2692-2965,TRUE,NSR:Quay:48355,,TRUE,,NA,Jåsund ring,NA
0.90256716-1.0@443317-WITH,EV18 S54D1 m204 KD6 m524-605,TRUE,NSR:Quay:6430,High,FALSE,,NA,"Lysaker, Oslo",NA
1.0@2622143-1.0@2503561-WITH,"RV150 S1D1 m307 KD2 m0-6, RV150 S1D1 m307 KD2 m6-383",TRUE,NSR:Quay:11207,High,FALSE,,NA,"Ulven, Oslo",NA
0.94864355-1.0@805002-WITH,FV5347 S1D1 m847-931,TRUE,NSR:Quay:53154,High,FALSE,,NA,"Strandgaten, Bergen",NA
0.54728468-0.77503283@805153-AGAINST,FV577 S1D1 m374-529,TRUE,NSR:Quay:53130,High,FALSE,,NA,"Kaigaten, nær Starvhusgaten, Bergen",TRUE
0.0@2730851-1.0@2475725-WITH,RV22 S2D1 m21 KD3 m0-120,TRUE,NSR:Quay:4044,High,FALSE,,NA,Fredrikstad,NA
0.54728468-0.77503283@805153-WITH,FV577 S1D1 m374-529,TRUE,"NSR:Quay:106984, NSR:Quay:106985",,TRUE,,TRUE,"Kaigaten, nær Starvhusgaten, Bergen",TRUE
0.37634667-1.0@2516105-WITH,EV6 S16D1 m545 KD5 m42-112,TRUE,,,,,NA,"Manglerud, Oslo",NA
0.4978117-1.0@805036-WITH,FV5216 S1D1 m2133 KD3 m102-205,TRUE,NSR:Quay:55121,,TRUE,,NA,Storavatnet terminal,NA
0.52246074-1.0@1721649-WITH,EV18 S56D1 m7556 KD5 m92-187,TRUE,,,,,NA,Holmlia,NA
0.63070959-1.0@805003-WITH,FV588 S1D1 m315-500,TRUE,,,,,,"Christies gate, Bergen",NA
0.48425622@285794-1.0@3254874-AGAINST,"FV4534 S2D1 m1751-2015, FV4534 S2D1 m1739-1751",TRUE,NSR:Quay:48760,Medium,FALSE,,NA,Forus nord,NA
0.48425622@285794-1.0@3254874-WITH,"FV4534 S2D1 m1739-1751, FV4534 S2D1 m1751-2015",TRUE,NSR:Quay:48762,Medium,FALSE,,NA,Forus nord,NA
0.49504335@72813-1.0@2210868-AGAINST,FV6692 S2D20 m0-217,TRUE,NSR:Quay:73034,,TRUE,,NA,Strindheim,NA
0.49504335@72813-1.0@2210868-WITH,FV6692 S2D20 m0-217,TRUE,NSR:Quay:73033,,TRUE,,NA,Strindheim,NA
0.0@2510769-0.90760567@72370-AGAINST,"FV6650 S1D1 m93-104, FV6650 S1D1 m0-93",TRUE,NSR:Quay:74264,,TRUE,,NA,"Kongens gate, Trondheim",NA
0.0@2510769-0.90760567@72370-WITH,"FV6650 S1D1 m0-93, FV6650 S1D1 m93-104",TRUE,NSR:Quay:74265,,TRUE,,NA,"Kongens gate, Trondheim",NA
0.15775872-0.18868729@605474-AGAINST,KV17059 S1D1 m142-160,TRUE,NSR:Quay:7596,Low,FALSE,,NA,"Storgata, Oslo.",NA
0.15775872-0.18868729@605474-WITH,KV17059 S1D1 m142-160,TRUE,NSR:Quay:7596,Low,FALSE,,NA,"Storgata, Oslo",NA
0.2816222-0.36579134@605101-AGAINST,KV15742 S2D1 m120-181,TRUE,,,,,NA,Prinsens gate i Oslo. Vet ikke om det kjører busser her.,NA
0.2816222-0.36579134@605101-WITH,KV15742 S2D1 m120-181,TRUE,,,,,NA,Prinsens gate i Oslo. Vet ikke om det kjører busser her.,NA
0.0@2020341-0.80616119@2408005-AGAINST,FV4556 S1D1 m393-2692,TRUE,"NSR:Quay:46450, NSR:Quay:45599",,TRUE,,FALSE,Jåsund ring,NA
0.0@2020341-0.80616119@2408005-WITH,FV4556 S1D1 m393-2692,TRUE,"NSR:Quay:45600, NSR:Quay:46449",,TRUE,,FALSE,Jåsund ring,NA
0.0-1.0@3254873-WITH,EV39 S100D1 m14967 KD5 m0-216,TRUE,NSR:Quay:48760,High,FALSE,,NA,"Solasplitten, Forus nord",NA
0.0-1.0@320701-AGAINST,FV4580 S1D1 m202-329,TRUE,"NSR:Quay:46970, NSR:Quay:46980",,TRUE,,TRUE,Ved Stavanger bussterminal,NA
0.0-1.0@320701-WITH,FV4580 S1D1 m202-329,TRUE,"NSR:Quay:46974, NSR:Quay:46961, NSR:Quay:46973",,TRUE,,TRUE,Ved Stavanger bussterminal,NA
0.01482175-0.63070959@805003-AGAINST,FV588 S1D1 m7-315,TRUE,NSR:Quay:53228,Low,FALSE,,NA,"Sydnestunellen, Bergen",NA
0.01482175-0.63070959@805003-WITH,FV588 S1D1 m7-315,TRUE,NSR:Quay:53230,Low,FALSE,,NA,"Sydnestunellen, Bergen",NA
0.0-0.88779933@805154-AGAINST,FV577 S1D10 m0-67,TRUE,NSR:Quay:53130,,TRUE,TRUE,NA,Byparken bybanestopp.,TRUE
0.0-0.88779933@805154-WITH,FV577 S1D10 m0-67,TRUE,NSR:Quay:53130,,TRUE,TRUE,NA,Byparken bybanestopp.,TRUE
0.0-1.0@1695038-WITH,EV39 S74D1 m5352 KD5 m0-99,TRUE,NSR:Quay:53700,,TRUE,,NA,"Bergen-ish, Klauvaneset",NA
0.0-1.0@1695037-WITH,EV39 S74D1 m5352 KD6 m0-57,TRUE,NSR:Quay:99710,,TRUE,,NA,"Bergen-ish, Klauvaneset",NA
0.0-1.0@1721668-WITH,EV18 S56D1 m7556 KD7 m0-289,TRUE,NSR:Quay:12312,,TRUE,,NA,"Fiskevollen, Oslo",NA
